,gameId
699,KR_5592492503
700,KR_5600745611
701,KR_5599855336
702,KR_5599434959
703,KR_5598900625
704,KR_5597356164
705,KR_5597382602
706,KR_5595286535
707,KR_5595149654
708,KR_5591336449
709,KR_5591320077
710,KR_5591187522
711,KR_5591221241
712,KR_5591036797
713,KR_5590929551
714,KR_5590053982
715,KR_5588899643
716,KR_5585935156
717,KR_5585934560
718,KR_5585950813
719,KR_5585828902
720,KR_5585863617
721,KR_5585851341
722,KR_5585774946
723,KR_5584900694
724,KR_5584578735
725,KR_5584527531
726,KR_5584211941
727,KR_5584190095
728,KR_5584145477
729,KR_5582967905
730,KR_5581229828
731,KR_5581312731
732,KR_5581016980
733,KR_5580922387
734,KR_5580843329
735,KR_5580808066
736,KR_5580810770
737,KR_5580315632
738,KR_5580234434
739,KR_5580215999
740,KR_5579938958
741,KR_5579532101
742,KR_5579258672
743,KR_5579241089
744,KR_5579221536
745,KR_5578587083
746,KR_5578498310
747,KR_5578481039
748,KR_5578390946
749,KR_5578271420
750,KR_5601199253
751,KR_5601185452
752,KR_5600778292
753,KR_5600776575
754,KR_5600727150
755,KR_5600685565
756,KR_5600712536
757,KR_5600675472
758,KR_5600579996
759,KR_5600572925
760,KR_5600457243
761,KR_5600339664
762,KR_5600245469
763,KR_5600176745
764,KR_5600122308
765,KR_5600016806
766,KR_5600061217
767,KR_5599990450
768,KR_5599821975
769,KR_5599637176
770,KR_5599564120
771,KR_5599590159
772,KR_5599009479
773,KR_5599015041
774,KR_5599011751
775,KR_5598985125
776,KR_5598931706
777,KR_5598850264
778,KR_5598773184
779,KR_5598623955
780,KR_5598497294
781,KR_5598485781
782,KR_5598403390
783,KR_5598265278
784,KR_5598068464
785,KR_5598112003
786,KR_5597846995
787,KR_5597910600
788,KR_5597785857
789,KR_5597284200
790,KR_5597260479
791,KR_5597144443
792,KR_5597063202
793,KR_5596906591
794,KR_5596877832
795,KR_5596769802
796,KR_5596695729
797,KR_5596618652
798,KR_5596593319
799,KR_5596407747
800,KR_5600472362
801,KR_5600327583
802,KR_5600280699
803,KR_5600261530
804,KR_5600096786
805,KR_5600140509
806,KR_5600025278
807,KR_5599858715
808,KR_5599845037
809,KR_5599668212
810,KR_5599007316
811,KR_5598988749
812,KR_5598935900
813,KR_5598816865
814,KR_5598811299
815,KR_5598691887
816,KR_5598620950
817,KR_5598439034
818,KR_5598462189
819,KR_5598162816
820,KR_5597363312
821,KR_5597277041
822,KR_5597233686
823,KR_5597137802
824,KR_5597074240
825,KR_5596986778
826,KR_5596902251
827,KR_5596824026
828,KR_5596727743
829,KR_5596770109
830,KR_5596566738
831,KR_5596620441
832,KR_5596266471
833,KR_5596391644
834,KR_5596127230
835,KR_5569029100
836,KR_5569012306
837,KR_5568885131
838,KR_5559030899
839,KR_5558896472
840,KR_5558872112
841,KR_5558758825
842,KR_5558770325
843,KR_5555016155
844,KR_5554934449
845,KR_5546042771
846,KR_5545918991
847,KR_5541322687
848,KR_5541196404
849,KR_5541059740
850,KR_5590197038
851,KR_5566537889
852,KR_5566550410
853,KR_5566372466
854,KR_5566344031
855,KR_5566198143
856,KR_5566203620
857,KR_5566200003
858,KR_5566083450
859,KR_5564987331
860,KR_5564959445
861,KR_5562911589
862,KR_5562672167
863,KR_5562524242
864,KR_5562446195
865,KR_5562442262
866,KR_5562336864
867,KR_5562249893
868,KR_5556995311
869,KR_5556908564
870,KR_5556656538
871,KR_5556359969
872,KR_5556353321
873,KR_5556306971
874,KR_5556321792
875,KR_5556171712
876,KR_5556086886
877,KR_5556093182
878,KR_5554460293
879,KR_5554425695
880,KR_5554411184
881,KR_5550823602
882,KR_5550009830
883,KR_5549921789
884,KR_5549705410
885,KR_5549508716
886,KR_5547960552
887,KR_5547575981
888,KR_5547513538
889,KR_5544464147
890,KR_5541490881
891,KR_5541323440
892,KR_5540082893
893,KR_5539970373
894,KR_5537771389
895,KR_5537551474
896,KR_5537368579
897,KR_5537345454
898,KR_5531893968
899,KR_5531797343
900,KR_5560939470
901,KR_5558814747
902,KR_5558659511
903,KR_5558592662
904,KR_5556463084
905,KR_5556255804
906,KR_5539625048
907,KR_5537549951
908,KR_5537443740
909,KR_5536300618
910,KR_5535805621
911,KR_5535695818
912,KR_5534782661
913,KR_5534714466
914,KR_5533240423
915,KR_5533123601
916,KR_5533027320
917,KR_5533050902
918,KR_5532941800
919,KR_5532584356
920,KR_5532499344
921,KR_5532418523
922,KR_5532472543
923,KR_5531581973
924,KR_5531271132
925,KR_5531115558
926,KR_5531098618
927,KR_5531072788
928,KR_5530958547
929,KR_5529803869
930,KR_5529718112
931,KR_5529646600
932,KR_5529608106
933,KR_5529535051
934,KR_5529466912
935,KR_5528243103
936,KR_5528206092
937,KR_5528192774
938,KR_5528037610
939,KR_5528012333
940,KR_5527846621
941,KR_5527920642
942,KR_5527675449
943,KR_5527610594
944,KR_5526297040
945,KR_5526310299
946,KR_5526113758
947,KR_5525861304
948,KR_5525659880
949,KR_5523128972
950,KR_5601144046
951,KR_5601019771
952,KR_5601025742
953,KR_5600994201
954,KR_5600723242
955,KR_5600492311
956,KR_5600382458
957,KR_5600343854
958,KR_5590453784
959,KR_5590374657
960,KR_5590335723
961,KR_5590321264
962,KR_5590224418
963,KR_5590125299
964,KR_5590062860
965,KR_5590008750
966,KR_5590032934
967,KR_5589938920
968,KR_5589935407
969,KR_5589705812
970,KR_5589811329
971,KR_5589466968
972,KR_5588899303
973,KR_5588684745
974,KR_5588633787
975,KR_5588527484
976,KR_5588512805
977,KR_5588417455
978,KR_5588382455
979,KR_5588158777
980,KR_5587843571
981,KR_5587830160
982,KR_5587278723
983,KR_5586981258
984,KR_5586924198
985,KR_5586598332
986,KR_5586593092
987,KR_5586415977
988,KR_5586392060
989,KR_5586375443
990,KR_5586314425
991,KR_5586330513
992,KR_5586137982
993,KR_5586095349
994,KR_5586131612
995,KR_5585812644
996,KR_5585709477
997,KR_5585009781
998,KR_5585012164
999,KR_5584915700
1000,KR_5563238563
1001,KR_5558758825
1002,KR_5558753676
1003,KR_5558677618
1004,KR_5558620862
1005,KR_5558532967
1006,KR_5542281165
1007,KR_5542230833
1008,KR_5542158369
1009,KR_5540758261
1010,KR_5540805772
1011,KR_5540755146
1012,KR_5540782685
1013,KR_5540771559
1014,KR_5537360671
1015,KR_5537140933
1016,KR_5534635207
1017,KR_5534539344
1018,KR_5534562678
1019,KR_5531659249
1020,KR_5531644937
1021,KR_5528795826
1022,KR_5528731082
1023,KR_5522866080
1024,KR_5522582481
1025,KR_5522394245
1026,KR_5521066134
1027,KR_5519743985
1028,KR_5517815886
1029,KR_5516819000
1030,KR_5509228025
1031,KR_5508850372
1032,KR_5507615856
1033,KR_5492643846
1034,KR_5492359006
1035,KR_5492273410
1036,KR_5492076952
1037,KR_5492009705
1038,KR_5491459174
1039,KR_5491473923
1040,KR_5491320616
1041,KR_5491005438
1042,KR_5490568600
1043,KR_5490610286
1044,KR_5490524754
1045,KR_5490471551
1046,KR_5487512212
1047,KR_5486414463
1048,KR_5486218539
1049,KR_5486204446
1050,KR_5600675472
1051,KR_5600643738
1052,KR_5600492311
1053,KR_5599681488
1054,KR_5598936325
1055,KR_5598890072
1056,KR_5597924194
1057,KR_5597375508
1058,KR_5597261070
1059,KR_5597174799
1060,KR_5596029032
1061,KR_5596034738
1062,KR_5595919210
1063,KR_5595955302
1064,KR_5595485472
1065,KR_5593396449
1066,KR_5593217328
1067,KR_5593181807
1068,KR_5593081567
1069,KR_5592639398
1070,KR_5592691365
1071,KR_5592457894
1072,KR_5592442859
1073,KR_5591909493
1074,KR_5591852311
1075,KR_5591765981
1076,KR_5591791759
1077,KR_5591693552
1078,KR_5591331080
1079,KR_5591231036
1080,KR_5591087577
1081,KR_5591081598
1082,KR_5589992435
1083,KR_5589195836
1084,KR_5589233685
1085,KR_5589182585
1086,KR_5589210694
1087,KR_5589147169
1088,KR_5588068966
1089,KR_5587512965
1090,KR_5587418704
1091,KR_5587281660
1092,KR_5587174618
1093,KR_5587115980
1094,KR_5587015703
1095,KR_5586981105
1096,KR_5586875569
1097,KR_5586871025
1098,KR_5586526917
1099,KR_5586621360
1100,KR_5595603904
1101,KR_5595438188
1102,KR_5595433690
1103,KR_5595366582
1104,KR_5595288139
1105,KR_5595291083
1106,KR_5595123673
1107,KR_5594985609
1108,KR_5594824339
1109,KR_5594605481
1110,KR_5594561590
1111,KR_5594490198
1112,KR_5594403453
1113,KR_5594315796
1114,KR_5593569175
1115,KR_5593576273
1116,KR_5593553139
1117,KR_5593139205
1118,KR_5593029684
1119,KR_5592953286
1120,KR_5592831900
1121,KR_5592816080
1122,KR_5592741690
1123,KR_5592673692
1124,KR_5592552809
